35.6,3.3,16.2,0,68.3,4.3
30.6,2.3,11.6,1.3,74.3,6.7
13.2,2,9.6,4.3,86.5,8
22.2,1,1.2,0,78,2
24.7,1.3,4,1.1,69.3,7
13.4,4,8.8,1.6,70.5,7.3
8.1,2.7,2.7,0.5,89.3,8
12.6,2.7,-0.3,0.5,85.8,8
10.4,1.7,-0.5,12,91,8
8.2,2,1.4,12.4,91,8
20.7,2,3.2,5.1,89,8
17.4,3.3,7.5,0,93,8
42.2,2.3,8,0,78.5,4.3
16.1,5,8.9,0,80.8,8
13.9,3.3,7.1,0,75.8,3
21.8,1.7,3.1,2,80.5,8
8.1,3,5.5,0.9,85.8,8
14.8,2,5.2,6.6,82.8,8
20.5,3.7,7.8,0,80.3,8
20.8,2.3,10.1,0.1,86,8
37.7,1,9.9,0.1,87.5,5
52.8,1,8,0,94.8,3.7
55.3,1,8,0,96.8,7
34.9,1,9.7,0,95,7
44,1,8.3,0.2,91.5,8
53.3,2,8.6,0,89.8,8
43.6,1.7,7.8,4.2,85.8,7.3
29.1,1,7.3,0.4,91.3,8
42,2,9.5,0.2,83.5,5
30.2,1.7,7.3,0,95.3,3
47.5,1,8.4,0,93,7
56.4,1.7,7.1,0.2,97.8,7
35.8,1.3,7,0,90,8
50.8,1.3,5.6,0,97,7
37.8,1.7,7.5,0,86,7
44.2,1.3,5.6,0,80.8,5.7
42.1,1.3,4.4,0,77,4.7
48.1,1,3.7,0,86.8,6.7
44.8,2.3,5.7,0,78,5.7
22.9,2.3,8,0.5,84.5,8
31.3,2,11,1,73,4
23.8,1.7,9.7,0.3,87,7
32.1,1.7,8.1,0,90,7.3
30,1.3,10.5,1.7,81.5,7
22,1.3,9.1,1.2,95.3,8
24.8,2.3,5.8,0,85.8,7
29.1,1.3,2,9.7,93,7
17.3,3.3,4,1.3,87.5,6.7
16.2,2.7,6.5,1.2,91.8,8
29.4,3,7,0,82.8,4.3
36.3,3,5.2,0.7,63.8,4
18.2,2.3,5.5,0,85.5,8
24.1,2.3,3,0,91,8
39.9,1,1.9,0,90.3,7
21.3,3,2.3,6.2,96.8,7
21,1,3.2,0,97.8,8
22.1,3.3,2.9,0,98,7
22.4,1.7,4.1,0,88.3,8
8.1,3,5.4,0.6,89.5,8
6.9,2,3.1,0,90.5,5
20.4,2.3,-1,0,87.5,4.3
14.1,2,0.6,0.1,96,8
18.3,3.7,0.5,0.2,96,7
21.1,2,1,0,85,7.7
23.7,2,1.4,1.7,85.8,4.3
13.8,5.3,5.9,0,77,7
10.9,3.7,7.3,1,75.5,5.3
14.7,3.3,5.8,0,71.5,5.3
16.5,3,4.3,0,86.3,5.7
15.9,3.3,3.7,3.8,87.5,7.3
10.9,3,5.6,0.7,90.5,8
17,3,5.6,2.5,91.3,8
13.2,1,6.4,9,94.3,8
22.4,2,4.7,0,85,4.7
17.8,3,7.7,0,86.8,6.3
12.9,3,11,0.8,74.3,7
9.2,5.3,8.3,4.2,60.5,6.3
15.3,5.7,7.1,3.9,74.3,7
16.5,6,8.7,2.7,89.3,8
16,5.3,8.1,1,93,7
17.6,4,5.3,0,80.3,6.7
28.4,1.3,2.6,0,76.3,4.3
32.5,2.3,4.9,0,79.5,7
11.6,5,8.2,8.5,75.5,7.3
11.5,5,7.8,4.6,67,7.3
14.2,1.7,4.4,4.1,85.8,7.3
7.4,3,7.6,3.5,84.8,5.7
12.7,4,6.1,0,73.5,7
14.6,1.7,1.2,0.3,80,8
8.2,4,-2,13.2,87.5,8
21.5,2,-4.7,1.5,85.5,8
30.6,2.7,-7.6,1.7,80.8,4.3
14.6,4,-3.5,1.2,90.5,6.3
12.2,3.7,-3.6,16,86.8,7.3
23.6,2,-0.8,0.6,93,4.7
18.2,2.3,-1.1,1,93.5,8
19.9,3,1.8,17,96.3,8
12.6,4,2.6,0,94.8,8
20.7,1.7,1.7,5.1,87.5,7.3
10.5,5,4,0.9,98.5,8
17.7,2,2.6,1.4,94.3,7
18.4,3,2.8,0,85,8
21.9,2.3,1.7,0,94,7.3
47,0.7,-0.4,1.6,94.5,8
29.3,3,-0.6,10.8,94.3,8
56.1,1,-1.6,1.6,93.5,8
37.1,1,-5.3,0.1,81.8,8
33.9,2,-7,0,81.8,7
47.9,1.3,-6.4,0,88.8,8
78.4,1.3,-0.9,1.7,95.5,8
40.7,1.3,2.6,0.1,93,8
29.6,1.3,1.7,5.8,95.3,8
23,2,0.8,1.1,96,8
28.4,2,-4,0,89,0
26.6,2.3,-0.8,0,90.3,3
27.4,2.3,1.1,0,96,7
40.2,2,1.9,0,90.5,8
11.3,3,-2.4,0,89,5.7
22.8,5,-7,1.8,79,8
21.2,3.7,-9.5,0,81.5,2.3
46.7,3.3,-10,0,79.8,8
82,3,-6.2,0,85.8,8
41.9,2.7,-4,5.5,96,8
21.2,2.3,1.5,1.3,96.5,7.3
18.7,2.7,0.6,2,95,7.3
11.8,3,5.3,1.4,85.8,8
9.6,2.7,6.1,1.2,86.8,8
23.6,2,5.1,0,92.3,8
18.6,2,2.5,0,97.8,8
23.4,0.7,3.2,2.5,87,5.3
29.4,2.7,5.9,0,91,8
39.6,1.7,7.7,0,82.3,4.7
61,1,11.2,3.7,66,6.7
25.8,2.7,9.3,0,88.3,8
29.5,1,7.3,0,76.8,6
25,2,4.7,0,96.3,7
41.1,2.3,11,0,60.8,2.7
67.4,1,8.6,0,69.3,2
39.5,3.3,9.9,0,62,2.7
34.4,2.7,6.7,0,79.3,6
41.5,2.7,6.7,0,74,6.3
15.1,4,8.4,2.2,77.8,8
9.3,2,5.6,3,91.8,8
18.2,3,6,3.1,73,8
25.2,1.3,4.1,1.9,97,8
39.3,2,8.5,11.6,92.5,8
17.5,2.3,6.4,0.9,81.5,8
22.6,3.3,6.5,2.2,86.3,8
37.3,5,8.8,0,81.5,4
35.7,1,8.3,0,83.3,0
36.5,2.3,7.9,0,65.5,0
48,2.3,9.1,0,68.8,0
58.1,3.3,9.4,0,57.3,0
50.2,4,8.9,0,56,0.3
49.5,2.7,8.5,0,67.5,0
49.3366666666667,1,9,0,71.8,1
49.1733333333333,1,8.8,0,69.5,0
49.01,2,7.9,0,70.5,3
48.8466666666667,2.7,9.3,0,71.8,5
48.6833333333333,2.3,6.4,0,74.8,5
48.52,3.3,5.9,0,57.5,5
