Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,45,0.024000,100,8.10971,5.8073,23.1158,0.91921
PM10,Warsaw,1,45,0.025000,1,10.0184,7.06854,27.6456,0.876054
PM10,Warsaw,1,45,0.025000,5,8.40736,6.08648,24.2827,0.91619
PM10,Warsaw,1,45,0.025000,10,8.35645,6.03175,24.2158,0.916286
PM10,Warsaw,1,45,0.025000,15,7.50728,5.38572,21.9688,0.932316
PM10,Warsaw,1,45,0.025000,20,8.09319,5.79582,23.3627,0.920639
PM10,Warsaw,1,45,0.025000,25,8.06426,5.83108,23.4051,0.920806
PM10,Warsaw,1,45,0.025000,30,7.84475,5.58717,22.337,0.923813
PM10,Warsaw,1,45,0.025000,35,8.03674,5.72235,23.0034,0.920799
PM10,Warsaw,1,45,0.025000,40,8.13048,5.89134,23.5195,0.919608
PM10,Warsaw,1,45,0.025000,50,7.91637,5.63575,22.5003,0.923021
PM10,Warsaw,1,45,0.025000,60,8.00085,5.7445,22.9899,0.921568
PM10,Warsaw,1,45,0.025000,100,7.99788,5.72448,22.9325,0.922251
PM10,Warsaw,1,50,0.010000,1,9.87482,7.2476,29.6812,0.876371
PM10,Warsaw,1,50,0.010000,5,8.47979,6.30377,26.6328,0.909425
PM10,Warsaw,1,50,0.010000,10,8.09664,5.93368,24.9084,0.917476
PM10,Warsaw,1,50,0.010000,15,8.27767,6.0388,24.6281,0.911845
PM10,Warsaw,1,50,0.010000,20,8.02582,5.97123,25.1365,0.917641
PM10,Warsaw,1,50,0.010000,25,8.25162,6.0034,25.159,0.912828
PM10,Warsaw,1,50,0.010000,30,8.26161,6.03462,25.0969,0.911797
PM10,Warsaw,1,50,0.010000,35,8.24063,5.97158,25.014,0.912135
PM10,Warsaw,1,50,0.010000,40,8.12465,5.90643,24.797,0.914999
PM10,Warsaw,1,50,0.010000,50,8.21087,5.94961,24.7561,0.912082
PM10,Warsaw,1,50,0.010000,60,8.0994,5.96477,24.958,0.916189
PM10,Warsaw,1,50,0.010000,100,7.99362,5.85434,24.5626,0.918437
PM10,Warsaw,1,50,0.013000,1,8.95001,6.5462,27.236,0.897164
PM10,Warsaw,1,50,0.013000,5,8.38853,5.77255,23.808,0.908494
PM10,Warsaw,1,50,0.013000,10,7.87831,5.69255,24.264,0.921758
PM10,Warsaw,1,50,0.013000,15,8.0456,5.84869,24.2887,0.917434
PM10,Warsaw,1,50,0.013000,20,7.7969,5.75909,24.3123,0.921961
PM10,Warsaw,1,50,0.013000,25,7.87272,5.73322,24.3119,0.920378
PM10,Warsaw,1,50,0.013000,30,8.00546,5.76609,24.2373,0.91577
PM10,Warsaw,1,50,0.013000,35,7.77999,5.67997,24.09,0.922768
PM10,Warsaw,1,50,0.013000,40,7.81625,5.70073,24.0858,0.921283
PM10,Warsaw,1,50,0.013000,50,7.90588,5.76335,24.2564,0.918511
PM10,Warsaw,1,50,0.013000,60,7.86874,5.80643,24.3648,0.920596
PM10,Warsaw,1,50,0.013000,100,7.85689,5.72217,23.9784,0.920234
PM10,Warsaw,1,50,0.014000,1,9.09375,6.62489,27.605,0.894021
PM10,Warsaw,1,50,0.014000,5,8.27443,5.79487,23.7348,0.912846
PM10,Warsaw,1,50,0.014000,10,7.85366,5.7883,24.7205,0.921031
PM10,Warsaw,1,50,0.014000,15,7.83075,5.65407,23.876,0.919357
PM10,Warsaw,1,50,0.014000,20,7.8621,5.67836,24.048,0.920898
PM10,Warsaw,1,50,0.014000,25,7.91353,5.75727,24.6963,0.921116
PM10,Warsaw,1,50,0.014000,30,7.73821,5.62046,23.8056,0.9248
PM10,Warsaw,1,50,0.014000,35,7.88982,5.72202,23.8902,0.919858
PM10,Warsaw,1,50,0.014000,40,7.71597,5.65038,23.9567,0.923941
PM10,Warsaw,1,50,0.014000,50,7.86785,5.75065,24.3102,0.920075
PM10,Warsaw,1,50,0.014000,60,7.76379,5.60414,23.7096,0.921957
PM10,Warsaw,1,50,0.014000,100,7.82631,5.65128,23.7892,0.92039
PM10,Warsaw,1,50,0.015000,1,8.9129,6.47441,26.836,0.897679
PM10,Warsaw,1,50,0.015000,5,7.87391,5.67337,23.0686,0.922826
PM10,Warsaw,1,50,0.015000,10,7.94304,5.85609,24.8468,0.919251
PM10,Warsaw,1,50,0.015000,15,7.70356,5.59216,23.6843,0.924855
PM10,Warsaw,1,50,0.015000,20,8.04863,5.73602,23.6977,0.916874
PM10,Warsaw,1,50,0.015000,25,7.69704,5.62919,23.6259,0.923545
PM10,Warsaw,1,50,0.015000,30,7.74668,5.58323,23.4004,0.923531
PM10,Warsaw,1,50,0.015000,35,7.69576,5.58087,23.4042,0.924294
PM10,Warsaw,1,50,0.015000,40,7.65317,5.60731,23.4987,0.92569
PM10,Warsaw,1,50,0.015000,50,7.76931,5.60207,23.5683,0.922897
PM10,Warsaw,1,50,0.015000,60,7.65038,5.55858,23.5807,0.924233
PM10,Warsaw,1,50,0.015000,100,7.80426,5.65734,23.6921,0.921132
PM10,Warsaw,1,50,0.016000,1,9.09244,6.5732,27.0377,0.902321
PM10,Warsaw,1,50,0.016000,5,7.77193,5.69337,24.3955,0.919124
PM10,Warsaw,1,50,0.016000,10,7.69618,5.64056,23.9302,0.924534
PM10,Warsaw,1,50,0.016000,15,8.0462,5.72254,24.0317,0.914786
PM10,Warsaw,1,50,0.016000,20,7.6869,5.60482,23.8363,0.924555
PM10,Warsaw,1,50,0.016000,25,7.67789,5.61168,23.513,0.923946
PM10,Warsaw,1,50,0.016000,30,7.84978,5.70115,23.9607,0.919975
PM10,Warsaw,1,50,0.016000,35,7.82898,5.61079,23.5131,0.919064
PM10,Warsaw,1,50,0.016000,40,7.71439,5.52783,23.2132,0.922506
PM10,Warsaw,1,50,0.016000,50,7.79481,5.66937,24.0448,0.921919
PM10,Warsaw,1,50,0.016000,60,7.88022,5.62308,23.7006,0.919537
PM10,Warsaw,1,50,0.016000,100,7.76652,5.60576,23.4319,0.922418
PM10,Warsaw,1,50,0.017000,1,9.14773,6.44846,26.9574,0.903572
PM10,Warsaw,1,50,0.017000,5,8.27282,5.84612,24.2474,0.908692
PM10,Warsaw,1,50,0.017000,10,7.57642,5.60778,23.575,0.928171
PM10,Warsaw,1,50,0.017000,15,7.70912,5.58727,23.8806,0.925076
PM10,Warsaw,1,50,0.017000,20,7.6732,5.56641,23.5073,0.926811
PM10,Warsaw,1,50,0.017000,25,7.62323,5.57326,23.6084,0.92487
PM10,Warsaw,1,50,0.017000,30,7.87369,5.63786,23.5265,0.920255
PM10,Warsaw,1,50,0.017000,35,7.70143,5.61724,23.7904,0.922855
PM10,Warsaw,1,50,0.017000,40,7.8572,5.62474,23.5719,0.919479
PM10,Warsaw,1,50,0.017000,50,7.67554,5.49543,23.2266,0.925095
PM10,Warsaw,1,50,0.017000,60,7.65383,5.51225,23.129,0.924488
