Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,50,0.100000,5,7.72012,5.43212,21.6059,0.910502
PM10,Warsaw,1,50,0.100000,10,7.7273,5.41716,21.6348,0.912751
PM10,Warsaw,1,50,0.100000,15,7.95448,5.43624,21.6299,0.909141
PM10,Warsaw,1,50,0.100000,20,7.50824,5.33057,21.8232,0.923276
PM10,Warsaw,1,50,0.100000,25,7.65346,5.37631,21.7702,0.916432
PM10,Warsaw,1,50,0.100000,30,7.67034,5.34883,21.561,0.915115
PM10,Warsaw,1,50,0.100000,35,7.5119,5.33176,21.6329,0.918652
PM10,Warsaw,1,50,0.100000,40,7.604,5.36542,21.6101,0.916506
PM10,Warsaw,1,50,0.100000,50,7.58052,5.32675,21.4432,0.917512
PM10,Warsaw,1,50,0.100000,55,7.53592,5.28242,21.3408,0.919357
PM10,Warsaw,1,50,0.100000,60,7.68333,5.3264,21.4794,0.914983
PM10,Warsaw,1,50,0.110000,1,8.25021,5.75318,23.5926,0.908147
PM10,Warsaw,1,50,0.110000,5,7.66409,5.46524,22.7097,0.920755
PM10,Warsaw,1,50,0.110000,10,7.78479,5.43005,22.3115,0.916189
PM10,Warsaw,1,50,0.110000,15,7.52344,5.30718,21.9115,0.922511
PM10,Warsaw,1,50,0.110000,20,7.45834,5.27801,21.3363,0.923147
PM10,Warsaw,1,50,0.110000,25,7.2526,5.19338,21.4924,0.927125
PM10,Warsaw,1,50,0.110000,30,7.85184,5.39878,21.7542,0.91334
PM10,Warsaw,1,50,0.110000,35,7.41432,5.28744,21.5,0.922013
PM10,Warsaw,1,50,0.110000,40,7.56427,5.32543,21.6925,0.917478
PM10,Warsaw,1,50,0.110000,50,7.54804,5.34782,21.8681,0.918692
PM10,Warsaw,1,50,0.110000,55,7.41336,5.27416,21.6217,0.924301
PM10,Warsaw,1,50,0.110000,60,7.42704,5.28215,21.7069,0.921927
PM10,Warsaw,1,50,0.120000,1,8.86248,6.16713,25.4637,0.888661
PM10,Warsaw,1,50,0.120000,5,7.62,5.38866,22.0626,0.925095
PM10,Warsaw,1,50,0.120000,10,7.69883,5.45164,22.5483,0.916553
PM10,Warsaw,1,50,0.120000,15,7.44042,5.35835,22.1552,0.92334
PM10,Warsaw,1,50,0.120000,20,7.46912,5.2951,21.7915,0.923301
PM10,Warsaw,1,50,0.120000,25,7.61978,5.3453,22.1443,0.919058
PM10,Warsaw,1,50,0.120000,30,7.72635,5.39284,22.2986,0.915389
PM10,Warsaw,1,50,0.120000,35,7.66986,5.40538,22.2337,0.916525
PM10,Warsaw,1,50,0.120000,40,7.62933,5.40885,22.306,0.918092
