Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,10,0.350000,50,14.5506,11.2061,54.8045,0.425379
PM10,Warsaw,1,10,0.400000,1,15.8885,12.2709,60.881,0.302122
PM10,Warsaw,1,10,0.400000,5,14.9929,11.4497,55.5384,0.325894
PM10,Warsaw,1,10,0.400000,10,14.6901,11.158,53.6592,0.348523
PM10,Warsaw,1,10,0.400000,15,14.9226,11.3524,55.0227,0.325572
PM10,Warsaw,1,10,0.400000,20,14.9829,11.3565,54.9925,0.313375
PM10,Warsaw,1,10,0.400000,25,15.0804,11.4629,55.4896,0.305131
PM10,Warsaw,1,10,0.400000,30,14.9619,11.3869,55.0778,0.319813
PM10,Warsaw,1,10,0.400000,35,15.0467,11.4784,55.717,0.318721
PM10,Warsaw,1,10,0.400000,40,14.864,11.344,54.886,0.338016
PM10,Warsaw,1,10,0.400000,50,14.968,11.4118,55.3605,0.32608
PM10,Warsaw,1,20,0.010000,1,15.5459,11.8793,48.8862,0.668402
PM10,Warsaw,1,20,0.010000,5,12.8395,9.61681,40.8517,0.688344
PM10,Warsaw,1,20,0.010000,10,12.939,9.55006,39.3966,0.695423
PM10,Warsaw,1,20,0.010000,15,12.8354,9.49627,40.1476,0.714284
PM10,Warsaw,1,20,0.010000,20,12.4067,9.01032,37.5339,0.715012
PM10,Warsaw,1,20,0.010000,25,12.6465,9.17871,38.0464,0.69783
PM10,Warsaw,1,20,0.010000,30,12.4781,9.06307,37.3009,0.712317
PM10,Warsaw,1,20,0.010000,35,12.3188,8.96461,36.8022,0.722024
PM10,Warsaw,1,20,0.010000,40,12.7757,9.33797,39.0722,0.694641
PM10,Warsaw,1,20,0.010000,50,12.3864,9.07571,37.9796,0.713813
PM10,Warsaw,1,20,0.020000,1,15.5459,11.8793,48.8862,0.668402
PM10,Warsaw,1,20,0.020000,5,12.7792,9.40063,39.4887,0.703409
PM10,Warsaw,1,20,0.020000,10,12.349,9.0295,37.3232,0.718511
PM10,Warsaw,1,20,0.020000,15,12.4081,9.08592,37.7334,0.713755
PM10,Warsaw,1,20,0.020000,20,12.2431,8.95759,36.6851,0.721174
PM10,Warsaw,1,20,0.020000,25,12.3437,8.8288,36.9151,0.709722
PM10,Warsaw,1,20,0.020000,30,12.4052,9.0238,37.6495,0.716309
PM10,Warsaw,1,20,0.020000,35,12.441,8.91802,36.437,0.702836
PM10,Warsaw,1,20,0.020000,40,12.686,9.16166,37.8406,0.701403
PM10,Warsaw,1,20,0.020000,50,12.5106,9.13574,38.6125,0.700635
PM10,Warsaw,1,20,0.030000,1,15.2945,11.6758,48.371,0.677771
PM10,Warsaw,1,20,0.030000,5,12.9945,9.27734,37.9057,0.699839
PM10,Warsaw,1,20,0.030000,10,12.9004,9.52204,39.9284,0.695468
PM10,Warsaw,1,20,0.030000,15,12.707,9.17982,38.6597,0.688609
PM10,Warsaw,1,20,0.030000,20,12.3947,9.03769,37.9985,0.721614
PM10,Warsaw,1,20,0.030000,25,12.864,9.40094,39.5321,0.70246
PM10,Warsaw,1,20,0.030000,30,12.482,9.10369,38.0181,0.704368
PM10,Warsaw,1,20,0.030000,35,12.3911,9.08556,38.3247,0.719509
PM10,Warsaw,1,20,0.030000,40,12.663,9.15221,37.7385,0.706076
PM10,Warsaw,1,20,0.030000,50,12.4325,9.11633,38.1563,0.71849
PM10,Warsaw,1,20,0.040000,1,15.2761,11.5446,48.308,0.672436
PM10,Warsaw,1,20,0.040000,5,13.1428,9.71417,40.2322,0.716777
